Tiempo,Q_DEEN,Caudal BPIL
98000,27.3423,37.3002
98100,27.216,37.1599
98200,27.0897,37.0196
98300,26.9633,36.8792
98400,26.8369,36.7389
98500,26.7106,36.5985
98600,26.5842,36.4581
98700,26.4577,36.3177
98800,26.3313,36.1773
98900,26.2048,36.0368
99000,26.0783,35.8964
99100,25.9518,35.7559
99200,25.8252,35.6154
99300,25.6986,35.4749
99400,25.572,35.3344
99500,25.4454,35.1938
99600,25.3187,35.0532
99700,25.192,34.9126
99800,25.0653,34.772
99900,24.9385,34.6313
100000,24.8117,34.4906
100100,24.6848,34.3499
100200,24.558,34.2091
100300,24.431,34.0684
100400,24.3041,33.9275
100500,24.1771,33.7867
100600,24.0501,33.6458
100700,23.923,33.5048
100800,23.7958,33.3639
100900,23.6687,33.2228
101000,23.5415,33.0818
101100,23.4142,32.9407
101200,23.2869,32.7995
101300,23.1595,32.6583
101400,23.0321,32.5171
101500,22.9046,32.3758
101600,22.7771,32.2345
101700,22.6496,32.0931
101800,22.5219,31.9516
101900,22.3943,31.8101
102000,22.2665,31.6686
102100,22.1387,31.527
102200,22.0109,31.3853
102300,21.8829,31.2436
102400,21.755,31.1018
102500,21.6269,30.9599
102600,21.4988,30.818
102700,21.3706,30.676
102800,21.2424,30.534
102900,21.1141,30.3918
103000,20.9857,30.2496
103100,20.8572,30.1074
103200,20.7287,29.965
103300,20.6001,29.8226
103400,20.4714,29.6801
103500,20.3427,29.5376
103600,20.2139,29.3949
103700,20.0849,29.2522
103800,19.956,29.1094
103900,19.663,28.9664
104000,19.3463,28.8235
104100,19.0469,28.6804
104200,18.767,28.5372
104300,18.4998,28.394
104400,18.2399,28.2507
104500,17.9846,28.1075
104600,17.733,27.9643
104700,17.4849,27.8213
104800,17.2404,27.6784
104900,17.0079,27.5357
105000,16.7882,27.3934
105100,16.5798,27.2514
105200,16.3811,27.1097
105300,16.1911,26.9684
105400,16.0088,26.8274
105500,15.8337,26.6868
105600,15.6649,26.5464
105700,15.502,26.4063
105800,15.3443,26.2664
105900,15.1914,26.1266
106000,15.0425,25.9868
106100,14.8974,25.847
106200,14.7556,25.7071
106300,14.6167,25.5671
106400,14.4803,25.4269
106500,14.3462,25.2865
106600,14.2141,25.1458
106700,14.0838,25.0048
106800,13.9551,24.8636
106900,13.8278,24.722
107000,13.7017,24.5802
107100,13.5767,24.438
107200,13.4527,24.2956
107300,13.3295,24.1528
107400,13.2071,24.0099
107500,13.0853,23.8666
107600,12.9641,23.7231
107700,12.8434,23.5794
107800,12.7232,23.4354
107900,12.6033,23.2911
108000,12.4836,23.1466
108100,12.3643,23.0019
108200,12.2452,22.8569
108300,12.1262,22.7116
108400,12.0074,22.5661
108500,11.8888,22.4203
108600,11.7702,22.2742
108700,11.6518,22.1278
108800,11.5334,21.981
108900,11.4151,21.8339
109000,11.2969,21.6865
109100,11.1788,21.5387
109200,11.0606,21.3904
109300,10.9426,21.2418
109400,10.8245,21.0927
109500,10.7065,20.9432
109600,10.5885,20.7933
109700,10.4705,20.6429
109800,10.3524,20.492
109900,10.2344,20.3406
110000,10.1163,20.1887
110100,9.9981,20.0363
110200,9.87984,19.8835
110300,9.76149,19.7302
110400,9.64303,19.5764
110500,9.52444,19.4222
110600,9.4057,19.2675
110700,9.28679,19.1124
110800,9.16736,18.9569
110900,9.04701,18.8011
111000,8.92557,18.6449
111100,8.803,18.4885
111200,8.67931,18.332
111300,8.55452,18.1754
111400,8.42871,18.0191
111500,8.30195,17.863
111600,8.17432,17.7073
111700,8.04592,17.5522
111800,7.91684,17.3977
111900,7.78714,17.244
112000,7.65692,17.0909
112100,7.5262,16.9386
112200,7.39504,16.7869
112300,7.26346,16.6358
112400,7.13147,16.4852
112500,6.99908,16.335
112600,6.86628,16.1849
112700,6.73309,16.0349
